7700459 | 2026-02-06 17:06:25 +0800 | 删除plan_text字段
76b72bf | 2026-02-04 17:40:20 +0800 | 1
2b8e236 | 2026-02-04 17:05:06 +0800 | 路由页面调整
82b1af4 | 2026-02-02 18:17:57 +0800 | 执行结果展示
ac1ff51 | 2026-02-02 16:02:52 +0800 | 验证修改场景是否成功
a27ca9b | 2026-02-02 14:30:25 +0800 | 场景表单优化
9d7781f | 2026-02-02 09:23:09 +0800 | schema展示
4ddc379 | 2026-01-30 11:16:55 +0800 | 创建共有场景
e6b8c64 | 2026-01-29 15:07:13 +0800 | 场景匹配
5c8b216 | 2026-01-28 17:59:02 +0800 | 样式细节调整
72dec16 | 2026-01-28 17:11:08 +0800 | 输出结果map类型数据对接
a7b7987 | 2026-01-28 16:25:28 +0800 | 优化侧边栏折叠逻辑
49469bd | 2026-01-28 14:18:11 +0800 | 创建messageBoxSlice 抽离数据集、区域、深度思考等状态和方法
26e1991 | 2026-01-28 10:33:16 +0800 | actionbuttongroup组件集成了on it. 和 replan
3a7f784 | 2026-01-27 13:54:36 +0800 | 项目瘦身，去除无用的组件和资源
a79a54c | 2026-01-27 11:19:16 +0800 | 整理api和type
efd322c | 2026-01-27 10:42:56 +0800 | 清理系统中无用的资源
7c35561 | 2026-01-27 09:21:17 +0800 | map
b13419c | 2026-01-23 14:54:43 +0800 | 修复消息框发送后不清空的问题
b49c3c0 | 2026-01-22 15:23:43 +0800 | display file
c96dd92 | 2026-01-22 13:42:50 +0800 | display file
b37aedf | 2026-01-21 14:49:52 +0800 | 结果集数据预览
2c2ccae | 2026-01-20 16:50:43 +0800 | 结果集数据展示
97c1fcb | 2026-01-16 17:20:50 +0800 | tiptap
e181ed2 | 2026-01-16 16:13:33 +0800 | tiptap
5a501ac | 2026-01-15 17:30:22 +0800 | '@数据集组件更新'
ff5764b | 2026-01-14 15:34:24 +0800 | logo
4c8a625 | 2026-01-13 09:53:02 +0800 | logo
e25d4d5 | 2026-01-05 16:00:53 +0800 | replace
0068a1e | 2025-12-30 15:23:43 +0800 | LangGraph Flow
346a1d0 | 2025-12-29 14:47:27 +0800 | 会话详情样式优化
cc463d4 | 2025-12-26 17:11:09 +0800 | AssistantResponse 组件重构与体验优化
44c84af | 2025-12-25 17:42:24 +0800 | 区域圈选参数变更
9ab0fc1 | 2025-12-24 14:44:41 +0800 | 为 table 的 colum 加上 min-width，保证组件正常渲染
7c595f2 | 2025-12-24 09:56:37 +0800 | summary
89ad0dc | 2025-12-22 16:15:50 +0800 | 数据持久化功能完善、数据展示支持最大化
63405b3 | 2025-12-19 10:38:52 +0800 | 1
81196e1 | 2025-12-18 17:22:57 +0800 | remove mouseeffect
1061c69 | 2025-12-18 16:44:52 +0800 | md
588ca17 | 2025-12-18 10:47:13 +0800 | stepdisplay
47e6261 | 2025-12-17 17:14:02 +0800 | 执行过程展示
1b2a94e | 2025-12-17 10:54:05 +0800 | 任务规划
51bec08 | 2025-12-16 18:03:53 +0800 | json_step
b41c2e7 | 2025-12-16 15:48:50 +0800 | 数据集 modal
8d3c09e | 2025-12-16 15:05:52 +0800 | 任务规划
b83801a | 2025-12-16 09:38:17 +0800 | scene node
b0ae795 | 2025-12-15 17:16:46 +0800 | 依赖视图
11c5983 | 2025-12-15 15:12:36 +0800 | 连线
e999d5c | 2025-12-15 14:33:38 +0800 | 连线
dd63632 | 2025-12-11 15:32:15 +0800 | modal
39add7c | 2025-12-11 09:31:47 +0800 | max-h
23199ab | 2025-12-10 17:54:20 +0800 | components
8fe8a6c | 2025-12-09 16:24:11 +0800 | node 重叠
19fa946 | 2025-12-09 15:16:34 +0800 | step resultdetail
d78545d | 2025-12-09 10:25:23 +0800 | line
6fb9f46 | 2025-12-08 17:03:29 +0800 | save
dd7a58b | 2025-12-04 09:06:23 +0800 | 3
8690b84 | 2025-12-03 13:56:03 +0800 | 2
4be39fc | 2025-12-03 09:52:19 +0800 | 1
4ee9bfb | 2025-12-02 16:25:44 +0800 | 保存场景
f1751dc | 2025-12-02 10:16:43 +0800 | 1
754aa2d | 2025-12-01 17:26:54 +0800 | json 卡片优化
ef6180f | 2025-11-24 15:21:05 +0800 | 优化 json 卡片样式
1a6144e | 2025-11-21 09:51:54 +0800 | sql 及 result 展示
4fa2248 | 2025-11-20 14:55:08 +0800 | 数据结果展示
8537550 | 2025-11-18 18:27:42 +0800 | p
0573a89 | 2025-11-18 17:37:23 +0800 | ele
184407e | 2025-11-18 17:19:42 +0800 | ok
3a8d475 | 2025-11-17 13:49:15 +0800 | json 卡片优化
aaf416f | 2025-11-10 10:45:59 +0800 | json
a827c7e | 2025-11-10 09:35:05 +0800 | json
ab5d722 | 2025-11-06 16:03:32 +0800 | autofocus
2c0e0d5 | 2025-11-05 16:08:24 +0800 | json_table
defdb6d | 2025-11-03 15:54:18 +0800 | json 可视化
f77da64 | 2025-10-31 17:06:02 +0800 | 中断交互
f1705a4 | 2025-10-30 14:44:24 +0800 | build
8c9a931 | 2025-10-27 15:21:16 +0800 | 展示中间状态
5104dc7 | 2025-10-24 15:25:47 +0800 | 提及
1ae8927 | 2025-10-24 10:25:55 +0800 | 样式
c5c25e2 | 2025-10-23 16:43:37 +0800 | csp
3399f11 | 2025-10-23 14:09:58 +0800 | fix
e53a2a6 | 2025-10-22 17:25:14 +0800 | electron
53672b3 | 2025-10-22 15:56:22 +0800 | 用户鉴权
34badaf | 2025-10-22 15:42:11 +0800 | 提及组件样式
b05b793 | 2025-10-21 11:13:01 +0800 | 样式细节优化
9eb22a4 | 2025-10-20 17:22:31 +0800 | bug 修复
f2d2863 | 2025-10-20 11:27:23 +0800 | 逻辑打通
3924bd4 | 2025-10-16 18:04:36 +0800 | 逻辑调整
12f621a | 2025-10-16 16:54:51 +0800 | 样式优化
9b14152 | 2025-10-16 14:45:34 +0800 | 样式调整
4f7d6cb | 2025-10-16 11:28:40 +0800 | 样式优化
